"","Wardcode","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","districtcode.x","MyID","Wardname","Population2011Census.y","GeneralFertilityRate","Malelifeexpectancy","Femalelifeexpectancy","District","Districtcode","districtcode.y","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"427","00AKGQ",17949,147.7,33.2,43.1,19.6,30.5,0.6,"00AK","00AK17949","Enfield - Edmonton Green",17949,124.1,74.8,79.6,"Enfield"," 00AK","00AK",27.9737032703772,8.4,60.6,46.8,21.4
"428","00ASGU",11578,59.7,33.3,15.5,2.6,16.6,1.3,"00AS","00AS11578","Hillingdon - Northwood Hills",11578,76.7,78.9,86,"Hillingdon"," 00AS","00AS",18.863361547763,17.5,33.3,27.9,7.1
"429","00AHHE",16743,78.6,33.3,19.8,8.4,17.1,0.8,"00AH","00AH16743","Croydon - Woodside",16743,75.4,79.3,80.6,"Croydon"," 00AH","00AH",24.3863106970077,7.9,55.1,28.4,6.3
"430","00ASHD",13586,100.8,33.3,21.8,6,19.8,1.1,"00AS","00AS13586","Hillingdon - Yeading",13586,105.9,78.4,82.4,"Hillingdon"," 00AS","00AS",25.813337258943,7.6,64.1,42.7,17.4
"431","00ASGM",12142,52.5,33.4,7.2,2,13.6,1.5,"00AS","00AS12142","Hillingdon - Eastcote and East Ruislip",12142,54.3,80.5,87.4,"Hillingdon"," 00AS","00AS",NA,NA,NA,NA,NA
"432","00BCGF",12780,81.7,33.4,5.3,5.1,17.6,1.2,"00BC","00BC12780","Redbridge - Cranbrook",12780,83.3,77.5,83,"Redbridge"," 00BC","00BC",20.5242566510172,12.9,75.4,44.5,15.1
"433","00BGGF",13354,113.9,33.4,52.9,14.8,23.3,0.4,"00BG","00BG13354","Tower Hamlets - Mile End East",13354,74.3,73.4,78.7,"Tower Hamlets"," 00BG","00BG",23.8954620338475,5.7,66,43.5,20
"434","00AMGN",12280,61.9,33.6,37,7.1,24.2,0.5,"00AM","00AM12280","Hackney - Lordship",12280,111.6,75.1,84.8,"Hackney"," 00AM","00AM",27.4511400651466,8.4,30.5,31.4,13.1
"435","00BJGR",16239,97,33.7,18,5.7,14.4,0.6,"00BJ","00BJ16239","Wandsworth - Tooting",16239,57.3,76,79.7,"Wandsworth"," 00BJ","00BJ",17.9075066198658,9,52.7,45.4,15.2
"436","00ALHB",14051,167.4,33.7,30.6,4.1,15,0.6,"00AL","00AL14051","Greenwich - Peninsula",14051,68.2,74.6,85.1,"Greenwich"," 00AL","00AL",16.9240623443171,8.3,30.6,33,10.4
"437","00BEGZ",12402,83.3,33.8,15.5,2.8,9.4,1,"00BE","00BE12402","Southwark - Village",12402,65.5,77.9,81.6,"Southwark"," 00BE","00BE",23.7381067569747,10.9,20.1,22,3.5
"438","00AMGH",12921,90.8,33.8,43.1,11.6,19.3,0.4,"00AM","00AM12921","Hackney - Hackney Downs",12921,67.4,74.9,83.3,"Hackney"," 00AM","00AM",18.8839873074839,7.2,51.7,39.5,15.5
"439","00BBGW",14846,63.7,33.9,17.7,8.4,19.6,0.7,"00BB","00BB14846","Newham - Wall End",14846,89,78.6,80.3,"Newham"," 00BB","00BB",25.239121648929,6.5,82.2,59.8,29.7
"440","00BJGJ",14940,112.9,34,13.6,2.3,6.7,0.8,"00BJ","00BJ14940","Wandsworth - Northcote",14940,72.9,80.1,81.1,"Wandsworth"," 00BJ","00BJ",19.0361445783133,6,14.9,28.9,5.7
"441","00BEGT",13743,107.2,34.1,45.6,5.8,17.5,0.5,"00BE","00BE13743","Southwark - Rotherhithe",13743,54.8,76.3,79.2,"Southwark"," 00BE","00BE",17.2378665502438,7.4,40.9,43.4,15.2
"442","00AEHD",13753,85.3,34.2,19.2,7.7,22.6,0.9,"00AE","00AE13753","Brent - Welsh Harp",13753,85,81.2,88.5,"Brent"," 00AE","00AE",21.3480695121064,11.4,61.3,55,22.9
