"","Wardcode","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","districtcode.x","MyID","Wardname","Population2011Census.y","GeneralFertilityRate","Malelifeexpectancy","Femalelifeexpectancy","District","Districtcode","districtcode.y","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"599","00ADGR",11566,89.9,65.3,37.4,8.9,28.8,0.9,"00AD","00AD11566","Bexley - North End",11566,89.6,74,79,"Bexley"," 00AD","00AD",26.8026975618191,10.6,27,18.8,3.3
"600","00AMGL",11098,61.9,67.7,57.9,13.6,24.6,0.5,"00AM","00AM11098","Hackney - King's Park",11098,66.2,77.2,85.7,"Hackney"," 00AM","00AM",25.5541539016039,9.2,62,43.3,13.4
"601","00BFGG",9715,37.1,68.2,10.6,3,15.5,1.5,"00BF","00BF9715","Sutton - Carshalton South and Clockhouse",9715,53.7,80.2,82,"Sutton"," 00BF","00BF",NA,NA,NA,NA,NA
"602","00ARGG",14692,86.2,68.4,41.9,9.3,34.2,1,"00AR","00AR14692","Havering - Gooshays",14692,68.6,76.3,80.4,"Havering"," 00AR","00AR",23.2371358562483,12.9,12.8,10.7,2.6
"603","00AKGP",13788,55.9,68.8,12,4.3,19,1.3,"00AK","00AK13788","Enfield - Cockfosters",13788,46.1,81.5,86.8,"Enfield"," 00AK","00AK",17.2251232956194,19,26.3,30.5,9.5
"604","00BKGH",9270,184.9,69.1,3.9,0.4,5.7,0.9,"00BK","00BK9270","Westminster - Knightsbridge and Belgravia",9270,30.9,89.9,93.4,"Westminster"," 00BK","00BK",NA,NA,NA,NA,NA
"605","00AFGH",14507,32.7,69.2,4.6,2.3,16.4,1.5,"00AF","00AF14507","Bromley - Chelsfield and Pratts Bottom",14507,52.6,83,85.6,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"606","00AFGS",15906,38,69.5,3.1,2.2,15.7,1.4,"00AF","00AF15906","Bromley - Hayes and Coney Hall",15906,48.9,80.5,86.7,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"607","00ADGX",12094,68.5,70.5,38.4,9.7,20.8,0.8,"00AD","00AD12094","Bexley - Thamesmead East",12094,117,77.9,83.8,"Bexley"," 00AD","00AD",27.1622292045642,6.8,52.7,38.1,7.6
"608","00BJGL",16132,84.7,70.6,46,8.3,18.2,0.6,"00BJ","00BJ16132","Wandsworth - Roehampton",16132,48.3,74.1,81.2,"Wandsworth"," 00BJ","00BJ",18.4540044631788,10.5,34.5,38.6,15.5
"609","00AFGE",9951,43.4,71.4,4.6,2.8,18.3,1.7,"00AF","00AF9951","Bromley - Biggin Hill",9951,60,82.2,86.2,"Bromley"," 00AF","00AF",18.9528690583861,16.3,4.1,5.1,0.5
"610","00BDGA",9985,56.6,74.7,13.8,1.7,12.5,1.2,"00BD","00BD9985","Richmond upon Thames - Hampton",9985,78.5,81.1,86.6,"Richmond upon Thames"," 00BD","00BD",19.3390085127692,15.8,11.3,16.7,4
"611","00ARGK",13000,51.8,75.3,20.6,6.4,30.4,1.3,"00AR","00AR13000","Havering - Havering Park",13000,58,75.3,79,"Havering"," 00AR","00AR",21.2692307692308,15.9,12,9.1,1.5
"612","00AXGC",10232,49.4,75.7,11.7,2.1,19.1,1.4,"00AX","00AX10232","Kingston upon Thames - Chessington South",10232,60.9,80,83.3,"Kingston upon Thames"," 00AX","00AX",20.6802189210321,13.5,13,14.3,3.9
"613","00AFGM",15445,115.7,76.4,24.7,6.1,27.9,1,"00AF","00AF15445","Bromley - Cray Valley East",15445,70.1,77.6,81.1,"Bromley"," 00AF","00AF",22.1819359015863,15.9,14.6,12.3,2.5
"614","00BDFX",10348,58.3,76.7,7.6,1.5,6.6,1.1,"00BD","00BD10348","Richmond upon Thames - East Sheen",10348,85.9,84.5,88.5,"Richmond upon Thames"," 00BD","00BD",22.9029764205644,13.9,9.3,23.6,5.5
"615","00BCFY",14544,100.4,76.8,11.3,5.3,19.6,1.1,"00BC","00BC14544","Redbridge - Aldborough",14544,69.2,77.4,82.2,"Redbridge"," 00BC","00BC",23.0060506050605,12.4,61.3,38.4,12.8
"616","00ARGQ",12482,81.8,79,8.9,5.2,29.8,1.3,"00AR","00AR12482","Havering - Rainham and Wennington",12482,64.2,77.2,82,"Havering"," 00AR","00AR",NA,NA,NA,NA,NA
"617","00AKGN",13762,52.5,81.5,21.3,6.5,22.4,1.1,"00AK","00AK13762","Enfield - Chase",13762,63.5,76.8,80.8,"Enfield"," 00AK","00AK",22.1915419270455,13.2,23.4,21,7
"618","00BDFZ",10317,65.8,81.9,18.5,3.1,14.1,1,"00BD","00BD10317","Richmond upon Thames - Ham, Petersham & Richmond Riverside",10317,68.8,78.3,86.4,"Richmond upon Thames"," 00BD","00BD",19.1237762915576,16.7,15.9,30.5,7.6
"619","00ARGW",12833,49.5,82,1.9,31.6,19,1.4,"00AR","00AR12833","Havering - Upminster",12833,38.6,80.1,81.6,"Havering"," 00AR","00AR",16.7770591443934,22.5,4.8,6.1,0.9
"620","00ASGN",7399,67.4,85.5,24,3.2,23.8,1.4,"00AS","00AS7399","Hillingdon - Harefield",7399,55.8,78.3,82.3,"Hillingdon"," 00AS","00AS",19.2458440329774,17,12.5,13.3,3.1
"621","00AFGQ",5110,58.6,88.8,5.5,1.6,21.9,1.7,"00AF","00AF5110","Bromley - Darwin",5110,63.8,81.2,82.4,"Bromley"," 00AF","00AF",18.3170254403131,21.9,4.8,6.1,0.4
"622","00AZGW",16414,71.7,99.9,36.6,8.2,14.4,0.6,"00AZ","00AZ16414","Lewisham - Telegraph Hill",16414,53.8,76.4,78.8,"Lewisham"," 00AZ","00AZ",19.5321067381504,7,49.4,36.9,10.9
